EntryPointName,Total,GlobalVariableRaceDetector,IntegerOverflowDetector,TaintedPointerDereferenceChecker,TaintedLoopBoundDetector
buddy_alloc_pages,11,4,4,0,3
buddy_alloc_pages_numa,18,3,4,9,2
buddy_check,6,6,0,0,0
buddy_free_pages,62,7,15,32,8
buddy_init,1,1,0,0,0
buddy_init_memmap,19,2,2,13,2
buddy_nr_free_pages,2,2,0,0,0
buddy_nr_free_pages_numa,5,2,2,1,0
dev_close,5,3,0,2,0
dev_fstat,21,3,1,17,0
dev_gettype,6,3,0,3,0
dev_ioctl,5,3,0,2,0
dev_lookup,2,0,0,2,0
dev_open,5,3,0,2,0
dev_poll,11,4,0,7,0
dev_read,18,8,1,7,2
dev_tryseek,9,3,1,5,0
dev_write,18,8,1,7,2
ffs_mount,5,4,0,1,0
ffs_namefile,25,3,2,19,1
ffs_opendir,0,0,0,0,0
ffs_openfile,9,9,0,0,0
ffs_reclaim,0,0,0,0,0
ffs_rename,0,0,0,0,0
ffs_truncdir,0,0,0,0,0
ffs_truncfile,5,3,0,2,0
pipe_inode_open,6,3,0,3,0
pipe_inode_poll,33,3,1,29,0
pipe_inode_read,128,6,6,112,4
pipe_inode_reclaim,292,7,36,246,3
pipe_inode_write,185,6,7,166,6
pipe_root_lookup,71,6,3,59,3
pipe_root_lookup_parent,8,3,0,5,0
RR_dequeue,12,1,1,10,0
ffs_tryseek,16,3,0,13,0
RR_enqueue,16,1,1,14,0
sfs_mkdir,231,8,12,205,6
sfs_opendir,0,0,0,0,0
sfs_openfile,0,0,0,0,0
sfs_truncfile,0,0,0,0,0
sfs_tryseek,16,3,0,13,0
sfs_unlink,344,8,22,310,4
x2_cpu_init,0,0,0,0,0
x_cpu_init,5,5,0,0,0
x_init_late,6,6,0,0,0
ffs_close,200,8,22,167,3
ffs_closedir,0,0,0,0,0
ffs_fstat,17,3,0,14,0
ffs_fsync,0,0,0,0,0
ffs_getdirentry,8,8,0,0,0
ffs_gettype,10,3,0,7,0
ffs_link,8,3,0,4,1
x_lapic_id,2,2,0,0,0
x_lapic_send_ipi,4,3,0,1,0
x_lapic_start_ap,6,4,0,2,0
yaffs_vop_close,13,3,0,10,0
yaffs_vop_create,39,39,0,0,0
yaffs_vop_fstat,231,10,26,185,10
yaffs_vop_fsync,38,38,0,0,0
yaffs_vop_getdirentry,12,12,0,0,0
yaffs_vop_gettype,10,3,0,7,0
yaffs_vop_lookup,154,13,19,110,12
yaffs_vop_lookup_parent,13,13,0,0,0
yaffs_vop_mkdir,38,38,0,0,0
yaffs_vop_namefile,12,12,0,0,0
yaffs_vop_opendir,0,0,0,0,0
yaffs_vop_openfile,0,0,0,0,0
yaffs_vop_reclaim,71,5,10,55,1
yaffs_vop_truncfile,42,42,0,0,0
yaffs_vop_tryseek,108,8,8,88,4
yaffs_vop_unlink,20,20,0,0,0
lapic_eoi_send,0,0,0,0,0
MLFQ_dequeue,4,2,0,2,0
MLFQ_enqueue,8,2,0,6,0
MLFQ_init,3,1,0,1,1
MLFQ_pick_next,3,1,0,1,1
MLFQ_proc_tick,2,1,0,1,0
pipe_inode_close,123,3,0,116,4
pipe_inode_fstat,24,3,2,19,0
pipe_inode_gettype,1,0,0,1,0
pipe_inode_ioctl,6,3,0,3,0
pipe_inode_namefile,23,3,2,17,1
RR_init,3,0,0,3,0
RR_pick_next,1,0,0,1,0
RR_proc_tick,6,0,1,5,0
sfs_close,13,3,0,10,0
sfs_create,272,8,16,240,8
sfs_fstat,29,3,2,24,0
sfs_fsync,124,6,7,111,0
sfs_getdirentry,155,7,13,133,2
sfs_gettype,10,3,0,7,0
sfs_link,184,7,9,165,3
TOTAL,3687,499,259,2832,97
